model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,0,structural,33.6341,39.3771,17.1745,0,0,0,103,338,359,14974189568,16892690432,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,1,multi-hop,13.6884,17.4565,15.6953,0,0,0,115,371,371,18040881152,18040881152,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,2,multi-hop,18.3777,0.0,36.5582,0,1,0,92,348,348,15873343488,15873343488,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,3,semantic,20.6075,0.0,14.62,0,1,0,86,322,302,13590069248,11954290688,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,4,structural,15.6562,24.3466,34.1035,0,0,0,66,322,270,13590069248,9555148800,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,5,multi-hop,21.867,0.0,17.4678,0,1,0,115,371,371,18040881152,18040881152,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,6,structural,19.3439,16.5306,19.3398,0,0,0,150,406,406,21605384192,21605384192,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,7,multi-hop,24.6983,32.5969,18.2472,0,0,0,145,401,401,21076508672,21076508672,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,8,multi-hop,57.9635,0.0,22.9023,0,1,0,109,365,365,17462067200,17462067200,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,9,structural,16.1195,56.0371,45.4591,0,0,0,100,356,356,16611540992,16611540992,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,10,multi-hop,33.7335,0.0,20.5549,0,1,0,128,384,314,19327352832,12923174912,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,11,semantic,46.3864,0.0,0.0,0,1,1,89,345,345,15600844800,15600844800,9.237,0.03
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,12,semantic,24.7013,0.0,41.2816,0,1,0,114,370,370,17943756800,17943756800,9.237,0.03
