policy,baseline,k,query_type,metric,pairs,mean_delta,median_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
adaptive_offline_global,cosine,6,all,prediction_hit,1200,0.075,0.0,0.0016666666666666668,0.155
adaptive_offline_global,cosine,6,all,target_rank,690,0.6318840579710145,0.0,0.33326023391812865,0.9852335164835164
adaptive_offline_global,cosine,6,all,candidate_universe_size,1200,-963.2366666666667,-969.0,-980.1254583333333,-945.322125
adaptive_offline_global,cosine,6,all,prompt_tokens,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,capacity_bytes,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,ready_cache_ttft_ms,1200,-1.6605847266666667,0.04028000000000276,-3.4043388070625,-0.04073534033333427
adaptive_offline_global,cosine,6,all,request_e2e_ms,1200,-1.781166865,-0.12513649999999998,-3.528408294916667,-0.15220197891666726
adaptive_offline_global,cosine,6,all,policy_ms,1200,2.866434738333333,2.7200305,2.7030477805833333,3.0419037800624995
adaptive_offline_global,cosine,6,all,current_access_ttft_ms,1200,-0.002290070000000052,0.5691690000000023,-0.7389632028958334,0.7076339477708333
adaptive_offline_global,cosine,6,all,current_access_request_ms,1200,-0.003756541666666635,0.5685469999999988,-0.742371877,0.7065279106874998
adaptive_offline_global,cosine,6,all,speculative_population_ms,1200,8.16933313,7.784583999999995,4.273450679208332,12.12470513225
adaptive_offline_global,cosine,6,all,available_overlap_ms,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,exposed_population_ms,1200,8.16933313,7.784583999999995,4.273450679208332,12.12470513225
adaptive_offline_global,cosine,6,all,end_to_end_ttft_ms,1200,9.375183141666666,10.437961999999999,4.868520433124999,14.096500294145832
adaptive_offline_global,cosine,6,all,end_to_end_request_ms,1200,9.254601003333331,10.38693900000004,4.7513200267083295,13.974376819854164
adaptive_offline_global,cosine,6,all,prefetch_bytes_scheduled,1200,377050.4533333333,0.0,-226680.832,954189.1413333331
adaptive_offline_global,cosine,6,all,prefetch_bytes_completed,1200,377050.4533333333,0.0,-226680.832,954189.1413333331
adaptive_offline_global,cosine,6,all,prefetch_completion_fraction,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,shadow_residency_before_prefetch,1200,0.011666666666666667,0.0,-0.005,0.028333333333333332
adaptive_offline_global,cosine,6,all,shadow_residency_hit,1200,0.07,0.0,0.0016666666666666668,0.14166666666666666
adaptive_offline_global,cosine,6,all,shadow_current_prefetch_hit,1200,0.058333333333333334,0.0,-0.0016666666666666668,0.125
adaptive_offline_global,cosine,6,all,shadow_cache_bytes_after,1200,105786.02666666667,32768.0,-334510.76266666665,530737.8346666666
adaptive_offline_global,cosine,6,all,lmcache_retrieved_tokens_delta,1200,40.56333333333333,0.0,17.798708333333334,65.75585416666665
adaptive_offline_global,cosine,6,all,lmcache_stored_tokens_delta,1200,-20.796666666666667,0.0,-40.843895833333335,-0.5932708333333518
adaptive_offline_global,cosine,6,all,vllm_prefix_cache_hit_tokens_delta,1200,36.2,0.0,16.243166666666667,57.80506249999999
adaptive_offline_global,cosine,6,all,online_updated,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,population_request_count,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,population_prompt_tokens,1200,11.506666666666666,0.0,-6.91775,29.11954166666666
adaptive_offline_global,cosine,6,all,predicted_count,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,completed_prefetch_count,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,current_insert_eviction_count,1200,-0.05,0.0,-0.08,-0.025
adaptive_offline_global,cosine,6,all,prefetch_eviction_count,1200,-0.225,0.0,-0.348375,-0.10666666666666667
adaptive_offline_global,cosine,6,all,target_insert_eviction_count,1200,-0.07333333333333333,0.0,-0.15,-0.0016666666666666668
adaptive_offline_global,cosine,6,all,retry_count,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,prefetch_completed_before_demand,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,all,request_success,1200,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,multi-hop,prediction_hit,600,0.09,0.0,0.017298065375331455,0.16453020993343567
adaptive_offline_global,cosine,6,multi-hop,target_rank,354,0.5536723163841808,0.0,0.10347671172494859,1.0215774980330445
adaptive_offline_global,cosine,6,multi-hop,candidate_universe_size,600,-965.7933333333333,-969.0,-983.0609780616336,-948.1475629695095
adaptive_offline_global,cosine,6,multi-hop,prompt_tokens,600,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,multi-hop,capacity_bytes,600,0.0,0.0,0.0,0.0
adaptive_offline_global,cosine,6,multi-hop,ready_cache_ttft_ms,600,-2.0020649683333334,-0.08360250000000136,-4.62717005297398,0.4537223795434315
adaptive_offline_global,cosine,6,multi-hop,request_e2e_ms,600,-2.11335528,-0.18064950000000124,-4.736542748827045,0.3402467925195534
