policy,k,repetitions,events,prediction_recall,mean_ready_cache_ttft_ms,mean_service_request_ms,mean_policy_ms,mean_speculative_population_ms,mean_exposed_population_ms,mean_end_to_end_ttft_ms,mean_end_to_end_request_ms,mean_completed_prefetch_mib,shadow_residency_rate,current_prefetch_hit_rate,mean_lmcache_retrieved_tokens,mean_prefetch_evictions,online_update_rate
adaptive_offline_global,6,2,1200,0.7833333333333333,43.84527635583334,43.926472006666664,3.0868419266666662,371.755635335,371.755635335,418.68775361750005,418.76894926833336,71.18130208333334,0.815,0.625,253.67583333333334,4.783333333333333,0.0
adaptive_offline_global,10,2,1200,0.9466666666666667,42.74651340333333,42.82751371083334,3.073024468333333,618.4730645233334,618.4730645233334,664.292602395,664.3736027025001,116.76640625,0.9533333333333334,0.7733333333333333,270.76416666666665,8.318333333333333,0.0
adaptive_offline_global,16,2,1200,0.9766666666666667,44.005557645833335,44.0915217875,3.2250413441666663,1029.9128854058333,1029.9128854058333,1077.1434843958334,1077.2294485375,185.15427083333333,0.9783333333333334,0.8616666666666667,279.3725,14.323333333333334,0.0
adaptive_online_warm,6,2,1200,0.78,44.747246015,44.8281263775,3.056298688333333,374.15936736333333,374.15936736333333,421.96291206666666,422.0437924291666,71.01010416666666,0.8116666666666666,0.6233333333333333,249.4975,4.858333333333333,0.21833333333333332
adaptive_online_warm,10,2,1200,0.9466666666666667,42.613236615,42.697115857499995,3.1645686116666667,625.1078929641666,625.1078929641666,670.8856981908334,670.9695774333334,116.77776041666667,0.955,0.775,283.1025,8.346666666666666,0.051666666666666666
adaptive_online_warm,16,2,1200,0.9766666666666667,43.41819232416667,43.500157851666664,3.1051706225,1023.3707017966666,1023.3707017966666,1069.8940647433333,1069.9760302708332,185.15427083333333,0.9783333333333334,0.8616666666666667,276.17833333333334,14.321666666666667,0.021666666666666667
cosine,6,2,1200,0.7083333333333334,45.505861082500004,45.70763887166667,0.22040718833333334,363.586302205,363.586302205,409.3125704758333,409.514348265,70.82171875,0.745,0.5666666666666667,213.1125,5.008333333333334,0.0
cosine,10,2,1200,0.8116666666666666,46.85083412083333,46.997510579166665,0.23040782250000003,637.3654478708333,637.3654478708333,684.4466898141667,684.5933662725,116.65489583333333,0.8316666666666667,0.6816666666666666,224.5925,8.728333333333333,0.0
cosine,16,2,1200,0.8416666666666667,46.33138511166666,46.51637964333334,0.24307708666666666,1043.4398380666667,1043.4398380666667,1090.014300265,1090.1992947966667,185.83552083333333,0.8483333333333334,0.74,248.2575,14.633333333333333,0.0
graph_fixed,6,2,1200,0.7633333333333333,45.6479488525,45.7318837775,3.14862859,375.6591569725,375.6591569725,424.455734415,424.53966934000005,70.98625,0.7966666666666666,0.6066666666666667,235.26,4.866666666666666,0.0
graph_fixed,10,2,1200,0.895,43.99771372083333,44.080421550000004,3.147929155,630.2099359891666,630.2099359891666,677.3555788650001,677.4382866941665,116.7846875,0.9083333333333333,0.7483333333333333,268.49333333333334,8.49,0.0
graph_fixed,16,2,1200,0.925,43.296058083333335,43.37678793166666,3.117147039166667,1027.6980947441666,1027.6980947441666,1074.1112998666667,1074.192029715,185.72911458333334,0.9316666666666666,0.8116666666666666,275.09166666666664,14.39,0.0
no_prefetch,6,2,1200,0.0,53.512500305,53.60862187916666,0.0052361924999999995,0.0,0.0,53.5177364975,53.61385807166667,0.0,0.23333333333333334,0.0,81.34166666666667,0.0,0.0
no_prefetch,10,2,1200,0.0,55.24331329333333,55.33610048250001,0.0052751149999999995,0.0,0.0,55.24858840833333,55.3413755975,0.0,0.23333333333333334,0.0,86.90666666666667,0.0,0.0
no_prefetch,16,2,1200,0.0,54.29756421833333,54.38985350833333,0.00495746,0.0,0.0,54.302521678333335,54.39481096833333,0.0,0.23333333333333334,0.0,79.95416666666667,0.0,0.0
